20002 70000
34 16609 -5270
34 13922 -7693
34 16734 -9054
34 13907 -7062
20001 35 0
35 16036 -7115
35 13663 -8646
35 10876 -6386
35 17619 -992
35 17507 -3313
20001 36 0
36 13134 -3420
36 12702 -5053
36 15557 -3283
36 13948 -984
36 18471 -7152
20001 37 0
37 19739 -3055
37 15297 -2842
37 10387 -4619
37 18059 -9190
37 11454 -4703
20001 38 0
38 17025 -2082
38 19607 -4010
38 11073 -6314
38 18882 -4410
38 19580 -9304
38 17572 -4980
38 12924 -9163
38 15370 -6493
38 19211 -9473
20001 39 0
39 10152 -2538
39 12328 -6440
39 15243 -4909
39 18962 -426
20001 40 0
40 15462 -4427
40 17782 -2923
40 18805 -9576
40 13679 -6720
40 12199 -18
40 10461 -750
20001 41 0
41 13770 -1870
41 15406 -1122
41 11293 -2469
41 13466 -1145
41 19882 -7725
20001 42 0
42 13800 -9308
42 15559 -5982
42 12335 -3368
20001 43 0
43 18725 -5082
43 14404 -6658
43 15100 -2037
43 19664 -2608
43 16335 -1296
20001 44 0
44 19698 -360
44 15807 -896
44 12034 -3627
44 13416 -6124
44 15181 -3248
44 19185 -4070
20001 45 0
45 17968 -595
45 18519 -9106
45 10964 -5001
20001 46 0
46 12806 -8238
46 17925 -6395
20001 47 0
47 13248 -6625
47 15085 -3868
47 11996 -8964
47 12757 -3590
47 11730 -2896
47 10985 -4998
20001 48 0
48 14256 -4268
48 13056 -9398
48 17995 -9178
48 13597 -9237
48 15861 -1667
48 17967 -8986
20001 49 0
49 10578 -9070
49 18546 -697
49 13257 -2765
49 11002 -1912
20001 50 0
50 12517 -8243
50 13629 -4992
50 10006 -1726
50 11473 -4648
50 11001 -7745
50 15598 -7161
20001 51 0
51 10341 -6074
51 13580 -7185
20001 52 0
52 17804 -5989
52 10380 -6131
52 13496 -4458
52 17705 -9827
52 13547 -4151
52 15915 -7063
52 10479 -2505
52 19112 -4175
20001 53 0
53 17878 -6616
53 13704 -4782
53 12423 -2434
53 13513 -2785
53 17271 -6339
53 18009 -6500
20001 54 0
54 15578 -8019
54 14813 -4162
54 13329 -3358
54 14194 -4252
20001 55 0
55 16569 -9202
55 12810 -5068
55 10449 -5813
55 16284 -8376
55 17907 -3804
55 11262 -3469
20001 56 0
56 18351 -6244
56 17792 -5710
56 12542 -7835
20001 57 0
57 10831 -997
57 17482 -11
57 16444 -2713
57 17798 -820
57 17425 -6577
57 18128 -1331
57 13546 -7655
57 16429 -4214
20001 58 0
58 12146 -9136
58 14196 -1447
20001 59 0
59 12110 -4612
59 16422 -7911
59 18027 -9682
59 11383 -7192
59 18547 -4753
59 11043 -4409
59 14784 -437
59 12061 -8347
20001 60 0
60 13156 -5262
60 15663 -3517
60 11350 -6106
20001 61 0
61 19501 -4579
61 11790 -7820
61 12399 -9242
61 19727 -1073
20001 62 0
62 13854 -1248
62 15051 -8727
62 17055 -8826
62 10190 -2179
62 11719 -4036
62 15704 -1163
20001 63 0
63 12164 -9916
63 14119 -847
63 16292 -8912
63 16624 -3608
20001 64 0
64 13434 -8056
20001 65 0
65 11903 -838
65 12125 -7102
65 13533 -5860
65 12969 -7126
65 11635 -4853
65 19141 -3204
65 11613 -5868
20001 66 0
66 15625 -8890
66 12019 -2277
66 11368 -4676
66 15688 -8137
66 15964 -5843
20001 67 0
67 19212 -4593
67 18105 -4713
67 12017 -429
20001 68 0
68 10429 -7573
68 12659 -3297
68 16546 -5661
68 17834 -8230
68 10087 -9008
20001 69 0
69 11762 -3127
69 12278 -6260
69 15548 -2569
69 13578 -2993
20001 70 0
70 18735 -1783
70 17535 -4443
70 13947 -9917
20001 71 0
71 13183 -838
71 11367 -1598
20001 72 0
72 18805 -7362
72 16220 -3191
72 10030 -9887
72 11446 -2022
72 15480 -3657
72 16488 -1447
72 16464 -3823
20001 73 0
73 19815 -9862
73 17572 -1607
73 12540 -2062
73 19183 -3740
73 13677 -4360
73 16534 -6451
20001 74 0
74 13534 -7555
74 16252 -5160
74 17557 -4342
74 19217 -5930
74 16662 -9947
74 17218 -8304
20001 75 0
75 19711 -672
75 12104 -2825
75 18202 -9518
75 14683 -2030
75 11669 -2660
75 10738 -6257
75 18863 -5134
75 18087 -5843
75 16099 -3954
20001 76 0
76 10600 -2703
76 19171 -8050
76 10074 -1751
76 18682 -2202
20001 77 0
77 15751 -5150
20001 78 0
78 15037 -6906
78 18620 -3673
20001 79 0
79 17129 -6041
79 15764 -5844
79 11781 -104
79 10346 -4161
79 16357 -5625
79 10699 -7950
79 12634 -3921
79 12031 -8730
20001 80 0
80 10346 -6151
80 18400 -816
80 10541 -9947
80 13538 -7157
80 18301 -1227
80 13534 -6405
20001 81 0
81 15192 -6386
81 19069 -5715
81 10428 -9881
81 16873 -9994
81 15378 -9195
81 11186 -6644
81 14858 -5453
20001 82 0
82 10927 -9455
82 13719 -2895
82 14057 -7710
82 15751 -41
82 10529 -4937
20001 83 0
83 14674 -3698
83 14254 -9741
83 19140 -4170
83 10208 -1948
20001 84 0
84 17194 -2800
84 12773 -6154
84 13592 -1315
84 11943 -9234
84 10080 -5664
84 18210 -8916
84 11678 -5181
20001 85 0
85 16755 -3980
85 10443 -6651
85 10608 -3459
85 10046 -9583
85 18816 -4649
85 19688 -58
85 17591 -8298
85 10708 -8548
20001 86 0
86 14813 -3483
86 19706 -6319
86 17890 -1634
20001 87 0
87 11746 -9181
87 19576 -9320
87 12359 -8165
87 13945 -6351
87 18916 -8578
87 12810 -8419
87 14428 -7225
87 15358 -6499
87 13938 -108
20001 88 0
88 13036 -5120
88 14037 -1430
88 11398 -6654
88 14774 -3472
20001 89 0
89 11764 -524
89 16397 -2031
89 12647 -4734
89 13927 -2835
89 15405 -9333
89 14216 -9859
89 16622 -8972
89 18606 -8024
20001 90 0
90 15704 -4738
90 16711 -8725
90 11686 -9119
90 15050 -5616
90 11663 -4962
90 18855 -3327
90 18565 -8027
20001 91 0
91 17562 -9588
91 10062 -9417
91 11529 -3016
91 13471 -3374
91 14665 -8468
91 17779 -8794
91 14351 -1417
91 12883 -699
20001 92 0
92 15545 -2436
92 15513 -153
92 11042 -9874
92 14933 -9635
92 10066 -4689
92 16989 -7853
20001 93 0
93 11006 -2736
93 17780 -3421
20001 94 0
94 13984 -9101
94 17370 -4213
94 12579 -989
94 12897 -3063
94 18085 -1802
94 19993 -1530
94 18922 -5086
94 18708 -1612
20001 95 0
95 11827 -2689
95 19920 -940
95 11959 -3467
95 19916 -8974
95 15538 -5006
95 12495 -152
95 10838 -3008
20001 96 0
96 15400 -1839
96 10601 -7611
96 16827 -2763
96 13134 -1903
96 12875 -6265
96 19098 -6510
96 18316 -6004
96 12433 -568
20001 97 0
97 14320 -2777
97 19041 -9449
97 11063 -4568
97 13739 -8083
97 14350 -8692
97 10627 -7387
97 10418 -3165
97 13795 -8570
20001 98 0
98 16496 -4367
98 10469 -5226
98 10922 -6329
98 15576 -1593
98 18428 -2044
98 17481 -9974
98 10350 -2662
98 17734 -2952
20001 99 0
99 10141 -5545
99 16893 -9390
99 10499 -7237
99 12412 -7214
99 14934 -8319
20001 100 0
100 10363 -5809
100 13646 -3783
100 15827 -8455
20001 101 0
101 13028 -9274
101 12126 -674
101 11432 -1619
101 16685 -9266
101 18337 -1220
101 14565 -1328
101 11452 -5965
20001 102 0
102 14118 -6517
20001 103 0
103 13004 -3404
103 18302 -2620
103 15725 -7808
103 15735 -5634
103 16317 -3316
103 19237 -7247
103 18480 -9045
103 13127 -7179
103 11911 -3549
103 15176 -503
20001 104 0
104 13646 -7184
104 16272 -9388
104 17591 -6468
104 16104 -5001
104 17242 -9669
20001 105 0
105 19245 -6518
105 18767 -374
105 12355 -1032
105 13856 -4220
105 14478 -6800
20001 106 0
106 14295 -6301
20001 107 0
107 12975 -2623
107 16872 -9445
107 19844 -2621
107 10351 -9229
107 16955 -3817
107 18066 -7963
107 19644 -6254
20001 108 0
108 19191 -5208
108 17364 -1081
108 10398 -8906
108 18451 -943
108 18654 -7482
108 15940 -7036
20001 109 0
109 11791 -1690
109 13284 -3710
109 18655 -2797
109 13114 -3621
109 19011 -2598
109 10566 -1082
109 19488 -9853
109 16119 -1695
109 16791 -3998
109 13472 -2234
20001 110 0
110 15515 -9265
110 18087 -8047
110 16387 -2742
110 16517 -387
110 15456 -6586
20001 111 0
111 14916 -5425
111 11812 -3815
111 11090 -1063
111 12661 -9905
111 10194 -8799
111 16863 -7464
20001 112 0
112 12971 -2059
112 15701 -5396
112 11705 -1910
112 15825 -8737
112 16064 -1134
20001 113 0
113 19481 -1565
113 12516 -1375
113 14700 -7872
113 17896 -65
113 13448 -3490
113 10090 -4087
20001 114 0
114 15811 -5996
114 14117 -6027
114 18021 -2615
114 17213 -6037
20001 115 0
115 17558 -1032
115 11389 -8779
115 17002 -4529
115 16819 -8670
115 10510 -8352
20001 116 0
116 18176 -5951
116 19363 -679
116 11532 -2625
116 15105 -6891
20001 117 0
117 14476 -1998
117 10024 -6350
117 14892 -5373
117 12581 -2630
117 17348 -8894
117 16830 -647
117 11304 -5351
117 10338 -3378
20001 118 0
118 16183 -6970
118 13891 -1888
118 13001 -3113
118 19788 -4679
20001 119 0
119 18519 -9965
119 13551 -2645
119 12567 -504
119 11209 -9000
119 19309 -2089
20001 120 0
120 10274 -4349
120 18846 -8375
120 18016 -5478
120 10995 -9662
120 11924 -7542
20001 121 0
121 10545 -9272
121 19118 -3643
121 12978 -4305
121 10517 -8718
121 16971 -7307
121 15400 -2159
20001 122 0
122 11545 -6036
122 14843 -9249
20001 123 0
123 17943 -1231
123 11062 -4117
123 15251 -3570
123 17222 -1547
123 13636 -3172
20001 124 0
124 15018 -1303
124 16144 -5663
124 19186 -5614
124 13806 -53
20001 125 0
125 16532 -356
125 14287 -9515
20001 126 0
126 14022 -9597
126 14017 -9208
126 16572 -5774
126 19785 -1501
126 18597 -6530
20001 127 0
127 17583 -8296
127 10158 -8891
127 11407 -5961
127 11885 -465
127 10318 -5245
127 16582 -1004
127 15946 -1914
127 10646 -2621
127 12842 -9849
127 16725 -7852
20001 128 0
128 15439 -1931
128 19629 -6294
128 19755 -2266
128 14417 -3135
128 14131 -9907
128 10959 -6349
128 17429 -1298
128 16972 -4753
128 12694 -5609
20001 129 0
129 16966 -4848
129 12540 -90
129 16585 -7042
129 11496 -5835
129 16499 -2500
20001 130 0
130 18987 -4265
130 19047 -8976
20001 131 0
131 16003 -9755
131 17212 -1976
131 10457 -8306
131 14218 -4020
131 18425 -3831
131 17667 -1354
131 14953 -3332
131 11748 -9813
131 13539 -7230
131 11252 -7409
131 12431 -3337
20001 132 0
132 13438 -1307
132 14306 -7488
132 18167 -886
132 17721 -3026
20001 133 0
133 15893 -7564
133 19600 -4749
133 18289 -9951
133 15404 -4792
133 12665 -1833
133 14510 -5087
20001 134 0
134 16253 -2349
134 15863 -5697
134 10283 -2695
20001 135 0
135 18517 -4569
135 18176 -3733
135 14917 -9216
135 11420 -251
135 16241 -7322
20001 136 0
136 12570 -8707
136 14746 -5797
136 19387 -7045
136 15452 -8072
136 14614 -5148
136 14877 -4639
136 12557 -4321
20001 137 0
137 19399 -8889
137 16057 -9992
137 12513 -5778
20001 138 0
138 16144 -7946
138 13187 -4373
138 15221 -4476
138 10225 -8055
138 11137 -1100
20001 139 0
139 16653 -5705
139 16334 -9964
139 12200 -5059
20001 140 0
140 19741 -9491
140 16378 -2438
140 12085 -5508
140 18117 -5038
140 19170 -3339
20001 141 0
141 13560 -7897
141 10022 -1912
141 12377 -6449
141 10624 -176
141 13492 -7393
141 15990 -9023
141 11342 -3352
20001 142 0
142 15998 -5756
142 17559 -3034
142 14601 -1860
142 11162 -6229
142 12138 -4813
20001 143 0
143 13635 -5246
143 10196 -6508
143 15319 -9811
143 17179 -8301
20001 144 0
144 15772 -5787
144 18930 -4147
144 19198 -8628
144 18737 -9154
144 14960 -1847
144 19039 -3959
144 16894 -6115
144 16899 -509
144 18832 -4824
144 11075 -8289
20001 145 0
145 14928 -2879
145 16183 -6373
145 18474 -4158
20001 146 0
146 12614 -5370
146 18440 -3581
146 11947 -5747
146 12812 -3648
146 13576 -9286
20001 147 0
147 17873 -708
147 16446 -2500
147 11260 -9514
147 11046 -1619
147 14668 -5365
147 18380 -3073
20001 148 0
148 13266 -4374
148 12128 -3016
148 17744 -8989
20001 149 0
149 18184 -1420
149 10553 -6783
149 17569 -9740
149 16691 -1190
149 13400 -4282
149 10607 -1220
149 18927 -3745
149 19026 -8673
20001 150 0
150 18807 -6244
150 15866 -6632
150 17280 -4954
150 14863 -6169
150 11032 -3297
20001 151 0
151 18576 -3968
20001 152 0
152 10787 -7145
152 12104 -9062
152 11918 -8257
152 18223 -7572
152 12368 -2253
20001 153 0
153 17372 -8083
153 12850 -5477
153 17839 -1045
20001 154 0
154 19909 -4723
154 16202 -4782
154 10880 -651
154 13051 -7124
154 18528 -4655
20001 155 0
155 13999 -8586
155 14742 -2240
155 16639 -3690
155 10389 -5553
155 17048 -7750
155 11213 -3242
20001 156 0
156 19509 -9998
156 10193 -6311
156 16301 -832
156 16261 -5982
156 14388 -4252
156 19644 -2506
156 10278 -8260
20001 157 0
157 18011 -1568
157 15171 -5777
157 13993 -5849
157 13506 -7430
157 10074 -4849
157 19588 -6234
157 10974 -4716
157 18630 -7933
20001 158 0
158 13369 -6039
158 12380 -2373
158 19163 -6404
20001 159 0
159 16938 -390
159 10525 -9557
159 18835 -965
159 12573 -6909
159 14675 -2355
20001 160 0
160 16985 -8721
160 16161 -1472
160 19154 -6010
160 13049 -6661
160 14769 -7735
160 10596 -3091
20001 161 0
161 17323 -8140
161 10685 -7948
161 19851 -4275
161 13887 -904
20001 162 0
162 11833 -4756
162 17779 -3808
162 15908 -7029
162 12094 -624
162 13811 -4967
162 15669 -8022
162 12084 -9213
20001 163 0
163 13489 -548
163 13402 -7476
163 19941 -2685
163 12136 -8725
20001 164 0
164 16171 -5221
164 18984 -3702
164 11603 -7107
20001 165 0
165 10605 -9740
165 11620 -489
165 17281 -7818
165 10721 -2101
165 13996 -7794
20001 166 0
166 18364 -5509
166 12178 -4009
166 14332 -7946
166 15793 -8767
166 13528 -7132
20001 167 0
167 10427 -3449
167 14613 -7594
20001 168 0
168 15824 -3570
168 17343 -7394
168 15085 -1939
168 18057 -1601
20001 169 0
169 16705 -5601
169 12857 -2159
169 15583 -6025
169 15445 -8436
169 17506 -6454
169 18795 -3028
169 12463 -2337
169 10112 -8125
20001 170 0
170 16671 -1560
170 13133 -4892
170 12911 -5660
170 18396 -5362
20001 171 0
171 14621 -7040
171 10350 -7108
20001 172 0
172 16699 -8856
172 15881 -4638
20001 173 0
173 11178 -5136
173 12150 -6606
173 12475 -979
173 16045 -5553
173 15433 -9441
173 15709 -1476
173 18287 -6178
173 10420 -6518
20001 174 0
174 19646 -3457
174 16876 -5635
174 18458 -8798
174 17475 -5877
174 18300 -1866
20001 175 0
175 14248 -5521
175 19823 -4116
175 15885 -4943
175 13550 -4636
175 14055 -3193
20001 176 0
176 18417 -3468
176 12980 -8646
176 15457 -2749
176 15277 -6430
176 17324 -1931
176 14592 -6466
176 13272 -21
176 18707 -9634
176 12162 -6950
20001 177 0
177 17184 -1294
177 11215 -3886
177 14769 -2999
177 10515 -3211
177 13011 -9427
177 12380 -6737
20001 178 0
178 11627 -9443
178 13672 -2869
178 10588 -3197
178 16404 -499
20001 179 0
179 12726 -128
179 11871 -7195
179 10933 -5896
179 16778 -3359
179 14181 -6502
179 19887 -9917
179 12929 -3143
20001 180 0
180 15929 -1215
180 18863 -3115
180 16723 -172
180 16025 -7600
180 10593 -3427
20001 181 0
181 13059 -2448
181 19578 -8016
181 18170 -3574
181 13795 -9744
181 15311 -6783
181 10044 -9698
20001 182 0
182 18914 -7917
182 14275 -123
182 15609 -2361
182 14694 -47
182 19334 -2588
20001 183 0
183 18151 -2997
183 12287 -2738
183 19414 -3875
183 16005 -4193
183 16789 -2353
183 15682 -887
20001 184 0
184 13773 -8248
184 11273 -283
184 19442 -7545
184 13264 -4141
184 12330 -2957
20001 185 0
185 19071 -3227
185 14177 -2607
185 18628 -1304
185 15491 -3836
185 18676 -6815
185 17868 -2707
185 17119 -9770
185 16089 -7725
20001 186 0
186 12944 -3791
186 18920 -1697
186 15304 -290
186 16977 -6089
186 10125 -2362
20001 187 0
187 10816 -5637
187 10664 -6450
187 12299 -9499
187 19054 -4784
187 13079 -6706
187 11748 -3644
187 13725 -5414
187 14001 -6328
20001 188 0
188 17200 -9087
188 11886 -9848
188 18729 -4304
188 14772 -6747
188 18972 -478
188 12183 -2309
188 13148 -188
20001 189 0
189 16720 -4778
189 15147 -9818
189 14512 -3348
20001 190 0
190 16078 -8075
190 12835 -9846
190 17813 -5873
190 16540 -8800
190 18182 -7553
20001 191 0
191 13586 -5758
20001 192 0
192 15753 -9590
192 14213 -5810
20001 193 0
193 14108 -2451
193 13400 -8614
193 14669 -8727
20001 194 0
194 14943 -8114
194 12016 -7229
194 17556 -6578
194 16443 -1037
20001 195 0
195 14677 -4340
195 17972 -7582
195 19357 -589
20001 196 0
196 14998 -7684
196 19473 -4533
196 10377 -7279
196 14982 -1252
196 16324 -6798
196 14480 -2646
196 19017 -4946
20001 197 0
197 19596 -391
197 18499 -4800
197 14209 -8732
20001 198 0
198 11254 -3982
198 11013 -2271
198 11046 -5014
20001 199 0
199 10180 -1012
199 15957 -1739
199 13083 -1029
20001 200 0
200 15247 -2231
200 12162 -6622
200 11838 -8796
200 14846 -2876
200 10128 -1229
200 16070 -2984
200 17188 -6885
20001 201 0
201 15345 -1119
201 19478 -6367
20001 202 0
202 15249 -2275
202 18800 -5708
202 19860 -5123
202 13264 -8061
202 13086 -1910
202 18334 -691
20001 203 0
203 17429 -4565
203 19189 -4243
203 14613 -3469
203 13787 -4882
203 15647 -3554
203 13912 -585
203 19239 -7773
203 10848 -6099
20001 204 0
204 12926 -5997
204 13345 -9458
204 17503 -1880
204 18105 -7675
204 13752 -2840
204 16011 -6984
204 15865 -2336
20001 205 0
205 16413 -1512
205 19561 -6462
205 12432 -5698
20001 206 0
206 14321 -6523
206 16469 -2008
206 15980 -5966
206 14531 -4110
206 15189 -4330
20001 207 0
207 15836 -5320
207 12371 -8423
207 11973 -1304
207 19938 -8030
207 14349 -4576
207 14665 -1092
20001 208 0
208 11573 -8895
208 19963 -4068
208 16003 -9009
208 12748 -7825
20001 209 0
209 19427 -8434
20001 210 0
210 12333 -1936
210 18713 -2761
210 15216 -8532
210 19405 -2687
210 13054 -8334
20001 211 0
211 17634 -6654
211 17550 -520
211 17036 -2259
211 11445 -6774
211 18919 -1896
211 13911 -847
211 11125 -6805
211 19566 -5932
211 13078 -7067
20001 212 0
212 12214 -2410
212 15945 -8520
212 14061 -4764
20001 213 0
213 14258 -7398
213 14205 -4595
213 14594 -4139
213 16362 -8605
213 10958 -919
20001 214 0
214 13123 -9155
214 19164 -3267
214 16201 -7764
214 10266 -5193
214 19150 -1155
20001 215 0
215 12135 -4484
215 15504 -8659
215 10706 -8611
215 15844 -9033
215 18020 -7529
215 14928 -4854
215 15439 -3679
20001 216 0
216 15223 -5404
20001 217 0
217 16074 -8686
217 17485 -9665
217 17041 -6922
217 14172 -1392
217 19621 -9803
217 10645 -3983
217 19625 -7916
20001 218 0
218 10165 -8941
218 17268 -6334
218 15725 -7026
218 12153 -3738
20001 219 0
219 17198 -2763
219 16924 -4568
219 19971 -5552
20001 220 0
220 12043 -5868
220 11172 -2853
220 11813 -347
220 18521 -3655
220 17472 -1525
220 18090 -4971
220 17102 -8506
220 14982 -6217
20001 221 0
221 12160 -7042
221 14631 -4339
221 18818 -4642
221 10539 -7356
221 13390 -7238
221 18545 -8781
221 15599 -2293
221 10247 -2514
20001 222 0
222 12662 -776
222 11197 -8974
222 19544 -6562
20001 223 0
223 19310 -2769
223 10613 -713
223 10516 -4191
223 18640 -4567
223 17562 -7739
20001 224 0
224 16810 -3286
224 18235 -3902
224 11828 -4795
20001 225 0
225 18576 -9193
225 15429 -3526
225 11219 -3123
20001 226 0
226 17564 -7802
226 15172 -7986
226 19202 -7830
20001 227 0
227 17590 -7620
227 15068 -9047
227 10207 -1025
227 17889 -9588
227 13028 -6441
227 18041 -8416
227 18954 -1538
20001 228 0
228 17587 -3380
228 10384 -3316
228 14971 -6258
228 18654 -9564
20001 229 0
229 17987 -1385
229 15186 -6890
229 13871 -9782
229 18155 -8775
20001 230 0
230 12154 -7069
20001 231 0
231 11806 -9666
231 15020 -3358
231 19413 -239
231 19007 -4813
231 17179 -7170
231 14064 -5764
231 11391 -987
231 13184 -8728
20001 232 0
232 16299 -220
232 13026 -1304
232 18002 -8461
232 18297 -1334
232 14725 -175
20001 233 0
233 14211 -3399
233 19459 -1033
233 15812 -5470
233 14657 -4335
233 15408 -5294
233 18550 -3550
233 15353 -5302
233 16543 -7652
20001 234 0
234 15594 -6102
234 10852 -9646
20001 235 0
235 12154 -4500
235 14450 -7027
235 12987 -879
235 18264 -5550
235 13345 -1336
235 15138 -1681
235 15715 -8407
235 16869 -3166
20001 236 0
236 17323 -5073
236 15392 -5045
236 19474 -2248
236 14647 -1700
236 18078 -3136
236 19885 -9630
236 16594 -4163
20001 237 0
237 11845 -2584
237 18513 -5525
237 12786 -5643
237 14036 -35
20001 238 0
238 19753 -7044
238 12957 -6792
238 14348 -9958
238 11403 -626
20001 239 0
239 16826 -2937
239 15776 -5407
239 12012 -9589
239 15013 -7761
239 15265 -8484
20001 240 0
240 14946 -6823
240 17655 -4204
20001 241 0
241 12674 -2724
241 10935 -7659
241 19345 -1127
241 17068 -8654
20001 242 0
242 11126 -4696
242 16811 -9421
242 18562 -7642
242 12757 -1370
242 10521 -9421
242 18986 -6053
242 13940 -9073
20001 243 0
243 16344 -4088
243 16159 -2222
243 13515 -3165
243 10748 -5145
243 17645 -2246
20001 244 0
244 14444 -786
244 14176 -2169
20001 245 0
245 11954 -4963
245 12835 -8933
245 11011 -4248
245 14889 -3973
245 13604 -4847
245 12953 -5525
20001 246 0
246 16466 -6660
246 14982 -3875
246 16160 -3933
20001 247 0
247 15187 -4571
247 14814 -604
247 13468 -4795
247 14037 -9500
247 11561 -8224
247 14875 -2603
20001 248 0
248 10092 -8712
248 12140 -6493
248 11954 -2366
248 15582 -2832
20001 249 0
249 13430 -10000
249 11229 -8450
249 16098 -8534
249 14949 -1405
249 14371 -4012
20001 250 0
250 19785 -3018
250 16637 -6045
250 12154 -1528
250 13809 -9341
250 15721 -443
250 14805 -4901
20001 251 0
251 16848 -5997
251 14084 -330
20001 252 0
252 11628 -6952
252 16256 -3011
252 18189 -4912
252 17814 -9501
252 15062 -2224
252 18859 -6839
252 19369 -580
252 18046 -1453
20001 253 0
253 11231 -1986
253 17439 -6990
253 14371 -529
253 12623 -3030
253 10457 -1805
253 19034 -4685
253 19471 -5586
253 13712 -7232
253 15244 -1903
20001 254 0
254 13303 -6314
254 19177 -8572
254 11932 -8165
254 16509 -3574
254 11764 -5437
254 10908 -3100
254 11692 -7910
254 13449 -812
254 17457 -5532
20001 255 0
255 12243 -2476
255 12739 -7573
255 19578 -3945
255 18540 -5785
255 16079 -3639
255 16347 -8835
255 17194 -5222
20001 256 0
256 18775 -9346
256 14903 -2200
256 19743 -6129
256 15781 -6249
256 17210 -8025
256 18906 -1956
20001 257 0
257 11890 -4564
257 16875 -2867
257 14421 -6609
257 14389 -7289
257 18679 -4688
257 16839 -7810
20001 258 0
258 17476 -8807
258 16028 -2528
20001 259 0
259 11012 -8827
259 12738 -6535
259 18488 -9002
20001 260 0
260 16897 -2970
260 12567 -1448
260 19960 -1223
260 16751 -7090
20001 261 0
261 19927 -4003
261 19773 -1654
261 11424 -4254
261 19286 -9123
20001 262 0
262 15536 -1744
262 12714 -4527
262 19427 -8391
262 10834 -1697
20001 263 0
263 15577 -5191
263 16038 -8111
263 19829 -2718
263 11854 -9771
263 17762 -767
263 18946 -8530
20001 264 0
264 18595 -7319
264 19583 -4019
20001 265 0
265 14409 -2557
265 10362 -5911
265 19614 -5761
265 10221 -9441
265 10986 -8068
265 13964 -7413
265 16522 -3133
265 11935 -9859
265 10756 -5872
20001 266 0
266 13191 -8831
266 12503 -1812
