2002 7000
40 1614 -9001
40 1633 -7112
40 1537 -6854
2001 41 0
41 1421 -8923
41 1548 -3519
41 1074 -8139
41 1449 -5394
41 1846 -6594
41 1435 -1816
41 1694 -7549
41 1243 -4963
2001 42 0
42 1237 -2840
42 1199 -8825
42 1469 -9170
42 1957 -5928
42 1414 -9292
42 1277 -6952
42 1182 -4763
42 1312 -8126
2001 43 0
43 1720 -2731
43 1256 -8774
43 1561 -914
2001 44 0
44 1503 -7878
44 1768 -4472
44 1721 -6489
44 1602 -4160
44 1896 -752
2001 45 0
45 1294 -9185
45 1854 -1995
45 1753 -5139
45 1048 -6541
2001 46 0
46 1541 -4086
46 1796 -3884
46 1647 -8656
46 1946 -7464
46 1568 -1023
2001 47 0
47 1938 -9945
47 1848 -8224
47 1691 -4493
47 1086 -384
2001 48 0
48 1195 -3561
48 1464 -2022
2001 49 0
49 1734 -2164
49 1703 -8590
49 1017 -1169
2001 50 0
50 1345 -9788
50 1887 -602
50 1208 -9003
50 1154 -5622
2001 51 0
51 1366 -1984
51 1008 -5104
2001 52 0
52 1382 -2580
52 1053 -6386
52 1482 -8217
2001 53 0
53 1444 -9733
53 1801 -9689
2001 54 0
54 1578 -800
54 1104 -2619
54 1671 -721
54 1616 -3354
54 1272 -8669
2001 55 0
55 1924 -4002
55 1629 -3664
55 1721 -2690
55 1526 -8474
55 1743 -7533
2001 56 0
56 1519 -5470
56 1829 -7203
56 1500 -189
2001 57 0
57 1804 -7559
57 1517 -6874
57 1083 -3040
57 1496 -1716
2001 58 0
58 1110 -2990
58 1128 -491
58 1976 -5565
58 1286 -4944
58 1369 -7437
58 1629 -5452
2001 59 0
59 1732 -4489
59 1715 -2171
59 1414 -6764
59 1161 -51
59 1327 -6448
2001 60 0
60 1376 -2709
60 1161 -7397
60 1836 -2012
60 1950 -3397
60 1651 -1093
60 1663 -9308
60 1327 -9822
2001 61 0
61 1582 -9926
61 1512 -7973
61 1587 -6788
61 1491 -8198
61 1845 -2196
2001 62 0
62 1694 -6416
62 1981 -9439
62 1001 -9977
62 1338 -9778
2001 63 0
63 1748 -3980
63 1322 -1753
63 1865 -5657
63 1587 -2678
2001 64 0
64 1763 -4878
64 1672 -4668
64 1917 -5138
64 1072 -138
64 1338 -2869
64 1974 -6310
64 1704 -3087
2001 65 0
65 1895 -5858
65 1994 -1587
65 1335 -6548
65 1971 -3416
65 1167 -9301
2001 66 0
66 1690 -8540
66 1101 -2152
66 1294 -3319
66 1083 -1353
66 1365 -4551
66 1682 -9096
66 1036 -8386
66 1900 -13
66 1641 -3900
66 1409 -7336
66 1819 -6699
66 1272 -1132
66 1521 -9411
2001 67 0
67 1222 -5439
67 1378 -996
67 1249 -8052
67 1693 -9153
67 1641 -7631
2001 68 0
68 1869 -3523
68 1312 -6351
68 1086 -9424
68 1661 -795
68 1209 -5412
2001 69 0
69 1574 -7472
69 1660 -452
69 1303 -8818
69 1646 -1567
69 1164 -9906
69 1935 -1598
69 1276 -8022
2001 70 0
70 1131 -5596
70 1877 -7490
70 1579 -6121
70 1501 -6327
2001 71 0
71 1797 -419
71 1485 -7835
71 1101 -9600
2001 72 0
72 1896 -2539
72 1554 -7973
72 1254 -7561
72 1943 -7993
2001 73 0
73 1240 -7829
73 1698 -9231
73 1330 -3087
73 1141 -3518
2001 74 0
74 1602 -9697
74 1279 -3255
74 1835 -9852
74 1896 -2816
2001 75 0
75 1933 -7933
75 1042 -5000
75 1357 -1723
2001 76 0
76 1832 -7067
76 1088 -3419
76 1729 -4332
76 1418 -2040
76 1528 -9460
76 1679 -8405
76 1120 -1129
76 1801 -1015
76 1122 -637
2001 77 0
77 1991 -4027
77 1009 -1867
77 1732 -1473
77 1226 -639
77 1401 -2656
77 1228 -3014
2001 78 0
78 1778 -7415
78 1433 -2267
78 1220 -9234
78 1084 -4834
78 1189 -4852
2001 79 0
79 1712 -499
79 1851 -1217
79 1610 -8781
79 1417 -668
2001 80 0
80 1543 -2101
80 1144 -488
80 1989 -4818
2001 81 0
81 1250 -2182
81 1440 -2779
81 1838 -1201
81 1963 -1008
81 1229 -3846
2001 82 0
82 1022 -2433
82 1377 -9058
2001 83 0
83 1905 -6603
83 1864 -2182
83 1781 -7356
83 1127 -5871
83 1022 -8305
83 1003 -8472
2001 84 0
84 1060 -588
84 1845 -5883
84 1932 -3789
84 1736 -4856
84 1012 -4103
84 1734 -6074
84 1134 -8396
84 1735 -3567
2001 85 0
85 1557 -1134
85 1223 -5421
85 1486 -1474
85 1191 -1113
85 1314 -8518
2001 86 0
86 1336 -8989
86 1575 -5926
86 1204 -1074
86 1886 -4241
86 1957 -2951
86 1846 -9165
2001 87 0
87 1821 -5348
87 1048 -7797
87 1157 -2416
87 1504 -8152
87 1047 -1628
2001 88 0
88 1451 -8850
88 1360 -1513
88 1865 -2849
88 1849 -5733
2001 89 0
89 1926 -9031
89 1689 -8014
89 1285 -2614
89 1961 -4079
2001 90 0
90 1496 -4385
90 1597 -8195
90 1781 -7454
90 1714 -6561
2001 91 0
91 1769 -7861
91 1579 -7982
91 1635 -3753
91 1765 -4631
91 1837 -4224
91 1649 -4835
91 1903 -2739
2001 92 0
92 1316 -3529
92 1796 -3310
92 1368 -5350
92 1521 -4408
92 1087 -2622
92 1194 -1544
92 1803 -2957
2001 93 0
93 1922 -2337
93 1619 -938
93 1770 -3738
93 1876 -9416
93 1194 -607
2001 94 0
94 1385 -7866
94 1284 -2242
94 1134 -1376
94 1082 -1247
2001 95 0
95 1541 -4996
95 1249 -3274
95 1855 -2140
95 1487 -9381
95 1402 -452
95 1698 -5060
95 1448 -2703
95 1004 -3015
2001 96 0
96 1114 -1867
96 1911 -5237
96 1634 -72
96 1990 -1943
2001 97 0
97 1551 -3206
97 1797 -5189
97 1449 -4133
97 1685 -964
97 1874 -871
97 1892 -2107
97 1224 -7961
2001 98 0
98 1153 -184
98 1681 -7069
98 1310 -5071
2001 99 0
99 1990 -108
99 1993 -2247
99 1185 -9717
99 1065 -319
99 1479 -3161
99 1085 -3785
2001 100 0
100 1059 -4552
100 1915 -7200
100 1038 -6191
2001 101 0
101 1302 -1680
101 1951 -2348
101 1785 -7412
101 1886 -3768
101 1588 -6695
101 1426 -1797
101 1137 -8971
2001 102 0
102 1939 -4635
102 1953 -5853
102 1802 -226
102 1024 -8694
102 1558 -6900
2001 103 0
103 1612 -4941
103 1581 -5753
103 1977 -5458
103 1549 -5679
2001 104 0
104 1215 -8369
104 1489 -4929
104 1834 -539
104 1342 -3470
104 1629 -2960
104 1783 -6145
104 1655 -3765
2001 105 0
105 1620 -1768
105 1205 -203
105 1876 -9995
105 1123 -6902
105 1839 -2620
105 1922 -1998
2001 106 0
106 1755 -3866
106 1083 -9617
106 1764 -4775
106 1455 -7678
2001 107 0
107 1496 -7850
107 1010 -7785
107 1393 -4898
107 1070 -9351
107 1573 -7781
107 1322 -2492
2001 108 0
108 1340 -4853
108 1858 -2587
2001 109 0
109 1909 -2644
109 1393 -2815
109 1418 -4979
109 1434 -5378
109 1220 -1128
109 1469 -340
109 1686 -7433
2001 110 0
110 1721 -4864
110 1632 -2439
2001 111 0
2001 112 0
112 1504 -954
112 1465 -9275
112 1651 -2416
112 1948 -5016
2001 113 0
113 1285 -9617
113 1754 -6341
113 1803 -1330
113 1752 -3083
113 1379 -8459
113 1271 -8321
113 1013 -12
113 1260 -2800
113 1489 -873
2001 114 0
114 1399 -5949
114 1002 -5810
114 1636 -5877
114 1231 -1104
114 1040 -7239
2001 115 0
115 1495 -9930
115 1977 -3852
115 1839 -296
2001 116 0
116 1738 -8017
116 1902 -9227
116 1371 -3702
2001 117 0
117 1124 -5904
117 1846 -168
117 1410 -254
117 1652 -1575
117 1563 -6863
117 1240 -6993
2001 118 0
118 1746 -3995
118 1335 -557
118 1133 -4783
118 1564 -6442
2001 119 0
119 1352 -3187
119 1764 -6947
119 1850 -135
119 1880 -736
119 1740 -2228
119 1547 -6790
2001 120 0
120 1404 -7234
120 1120 -3598
2001 121 0
121 1030 -5800
121 1117 -3100
121 1565 -8286
121 1501 -9254
121 1646 -6275
121 1591 -466
121 1621 -4082
121 1438 -2156
2001 122 0
122 1002 -4997
122 1443 -931
122 1918 -5118
122 1006 -3593
122 1861 -3634
2001 123 0
123 1635 -6813
123 1760 -253
123 1959 -4216
123 1330 -4774
123 1897 -7909
2001 124 0
124 1818 -5692
124 1257 -2486
124 1972 -9528
124 1549 -8529
124 1734 -9378
124 1912 -8215
124 1606 -1733
2001 125 0
125 1410 -5020
125 1693 -8181
125 1295 -6524
125 1242 -66
125 1913 -9175
125 1206 -1517
125 1504 -832
125 1708 -6406
2001 126 0
126 2000 -2188
2001 127 0
127 1043 -5942
127 1312 -7967
2001 128 0
128 1652 -308
128 1823 -4444
128 1735 -461
128 1356 -7258
128 1174 -2054
128 1041 -7707
128 1143 -6830
128 1220 -8494
128 1429 -8930
128 1489 -9347
2001 129 0
129 1350 -2846
129 1719 -6518
129 1678 -3292
2001 130 0
130 1420 -441
130 1312 -6934
130 1769 -8630
130 1754 -9954
130 1212 -1807
130 1122 -7428
130 1159 -4548
2001 131 0
131 1986 -9323
131 1772 -7704
131 1294 -9770
2001 132 0
132 1018 -9379
132 1656 -9555
132 1514 -2412
132 1288 -5654
132 1246 -7749
2001 133 0
133 1603 -9936
133 1881 -9521
133 1959 -2004
2001 134 0
134 1165 -2899
134 1684 -9651
134 1389 -2131
134 1203 -3166
134 1972 -4195
134 1772 -6773
2001 135 0
135 1458 -8665
135 1773 -5636
135 1726 -4707
135 1402 -3213
135 1142 -8298
135 1759 -4112
135 1875 -9332
135 1343 -5321
2001 136 0
136 1299 -2278
2001 137 0
137 1874 -205
137 1614 -7703
137 1861 -5565
137 1154 -691
137 1535 -3675
137 1054 -9265
137 1337 -7109
137 1829 -1635
2001 138 0
138 1950 -7025
138 1153 -3540
138 1618 -416
138 1627 -8930
138 1658 -7459
2001 139 0
139 1231 -8704
139 1128 -4966
2001 140 0
2001 141 0
141 1894 -6805
141 1795 -5037
141 1671 -832
141 1582 -134
141 1668 -4156
141 1210 -596
141 1330 -8726
141 1800 -8979
2001 142 0
142 1677 -7847
142 1057 -7158
142 1486 -5597
142 1415 -6910
2001 143 0
143 1257 -2444
143 1623 -9897
143 1190 -5090
143 1757 -1314
143 1232 -5499
2001 144 0
144 1868 -6744
144 1390 -7076
144 1254 -8062
144 1061 -6749
2001 145 0
145 1212 -8026
145 1917 -3422
145 1353 -920
145 1356 -9336
145 1110 -9804
2001 146 0
146 1999 -4742
146 1253 -4264
146 1175 -856
146 1466 -5190
2001 147 0
147 1865 -5740
147 1252 -3686
147 1227 -4682
147 1851 -3852
2001 148 0
148 1006 -2709
148 1119 -2605
148 1664 -9570
2001 149 0
149 1984 -4675
149 1299 -1841
149 1911 -8509
2001 150 0
150 1299 -9297
150 1713 -1201
150 1979 -4751
150 1043 -2673
2001 151 0
151 1869 -2443
151 1374 -6901
151 1036 -2457
151 1501 -3481
151 1122 -6066
2001 152 0
152 1864 -7837
152 1857 -929
152 1845 -4762
152 1193 -4557
152 1928 -3255
152 1316 -4144
2001 153 0
153 1999 -1191
153 1342 -6517
2001 154 0
154 1506 -1199
154 1810 -213
154 1119 -733
2001 155 0
155 1177 -7519
155 1214 -1343
155 1919 -9368
155 1572 -1114
2001 156 0
156 1403 -2600
2001 157 0
157 1794 -289
157 1481 -2163
157 1434 -2695
2001 158 0
158 1133 -2531
158 1784 -7578
2001 159 0
159 1183 -3178
159 1820 -399
159 1811 -1629
159 1161 -6011
159 1011 -3451
159 1930 -2736
2001 160 0
160 1093 -9609
160 1564 -5794
160 1788 -2336
160 1614 -2601
160 1593 -4911
160 1672 -9811
160 1478 -4141
2001 161 0
161 1340 -6481
161 1298 -9524
161 1996 -5822
161 1631 -6214
161 1098 -5358
161 1861 -4646
2001 162 0
162 1057 -3127
2001 163 0
163 1847 -886
163 1750 -2788
163 1816 -7946
2001 164 0
164 1556 -864
164 1877 -39
164 1350 -9217
164 1123 -9349
164 1593 -3957
164 1462 -5838
164 1134 -2943
2001 165 0
165 1450 -6154
165 1361 -6097
165 1317 -9728
165 1516 -657
165 1958 -2651
2001 166 0
166 1118 -5003
166 1501 -1195
166 1088 -7993
166 1413 -6964
166 1499 -9244
166 1931 -9959
166 1206 -2121
166 1830 -2392
166 1790 -8920
166 1888 -3325
2001 167 0
167 1856 -118
167 1592 -1760
167 1161 -5149
167 1869 -6590
167 1203 -6499
2001 168 0
168 1373 -9164
168 1650 -2158
168 1146 -7653
168 1915 -5914
168 1195 -7132
168 1080 -2448
168 1046 -5625
168 1615 -6746
2001 169 0
169 1799 -8817
169 1628 -1413
169 1728 -4050
169 1173 -6799
2001 170 0
170 1451 -2498
2001 171 0
171 1122 -8383
171 1425 -4251
171 1961 -2235
171 1720 -3335
171 1512 -3009
171 1885 -6705
2001 172 0
172 1778 -73
172 1964 -4996
172 1194 -3368
172 1940 -15
172 1369 -328
2001 173 0
173 1619 -8632
173 1686 -9865
173 1937 -5462
173 1490 -6725
2001 174 0
174 1448 -2044
174 1703 -4477
174 1545 -7247
174 1245 -4526
174 1422 -7362
174 1367 -9465
174 1392 -989
2001 175 0
175 1542 -3273
175 1914 -1090
175 1340 -2484
175 1251 -5883
175 1241 -6187
175 1164 -3747
175 1228 -9758
2001 176 0
176 1411 -7012
176 1658 -2980
176 1130 -3943
176 1821 -8282
2001 177 0
177 1148 -349
177 1130 -9286
177 1969 -1788
177 1010 -6301
177 1469 -4501
2001 178 0
178 1945 -2968
178 1509 -913
178 1913 -8482
178 1918 -918
2001 179 0
179 1041 -150
179 1408 -5925
179 1542 -8461
179 1597 -3035
179 1229 -3471
179 1816 -7020
2001 180 0
180 1386 -9010
180 1365 -1208
180 1251 -391
180 1835 -7274
2001 181 0
181 1350 -2195
181 1274 -8474
181 1195 -670
181 1604 -9868
181 1916 -3741
181 1942 -4038
181 1700 -6938
2001 182 0
182 1909 -6298
182 1253 -8565
182 1317 -6942
182 1364 -1323
182 1964 -3062
2001 183 0
183 1871 -2243
183 1929 -5086
183 1526 -3659
183 1491 -3089
2001 184 0
184 1387 -6183
184 1606 -3641
184 1465 -9550
184 1388 -4529
2001 185 0
185 1582 -4553
185 1780 -1149
185 1202 -9820
185 1413 -8729
185 1153 -2731
185 1330 -3450
185 1196 -2576
185 1701 -9659
2001 186 0
186 1872 -1884
186 1456 -7888
186 1342 -8504
186 1220 -6775
186 1154 -5151
2001 187 0
187 1274 -1789
187 1124 -2273
187 1569 -336
2001 188 0
188 1285 -6811
188 1210 -4554
188 1252 -2024
188 1374 -8574
188 1637 -5156
188 1628 -1222
188 1823 -7121
2001 189 0
189 1021 -7139
189 1333 -1644
189 1557 -9943
189 1504 -3819
189 1487 -6586
2001 190 0
190 1110 -1561
190 1443 -9060
190 1834 -9498
190 1587 -2476
190 1958 -2312
190 1932 -736
190 1704 -8439
2001 191 0
191 1054 -8553
191 1040 -8674
191 1850 -6593
191 1218 -9182
191 1644 -4008
2001 192 0
192 1898 -8064
192 1539 -9602
192 1326 -1795
192 1813 -1969
192 1636 -1534
2001 193 0
193 1242 -6971
193 1247 -4302
193 1251 -677
193 1870 -1413
193 1237 -230
193 1916 -7370
193 1364 -2913
2001 194 0
194 1721 -5242
194 1412 -5560
194 1099 -4418
2001 195 0
195 1451 -8188
195 1879 -6368
195 1189 -4412
195 1224 -986
195 1751 -9987
195 1693 -8168
195 1960 -283
2001 196 0
196 1186 -7920
196 1527 -2853
196 1870 -5171
196 1448 -186
2001 197 0
197 1700 -2687
197 1397 -6526
197 1126 -6793
2001 198 0
2001 199 0
199 1525 -7025
199 1223 -7865
2001 200 0
200 1815 -134
200 1492 -3405
200 1929 -3979
2001 201 0
201 1368 -2277
201 1342 -7630
201 1006 -6224
201 1606 -3320
201 1364 -7819
201 1281 -8976
2001 202 0
202 1745 -9288
202 1801 -1950
202 1240 -9860
202 1119 -3820
2001 203 0
203 1562 -4816
203 1027 -4983
203 1782 -5858
2001 204 0
204 1604 -4859
204 1057 -6686
204 1909 -4071
204 1383 -3935
204 1074 -5705
204 1998 -7471
2001 205 0
205 1339 -3035
205 1647 -8617
205 1012 -8685
205 1021 -2724
2001 206 0
206 1678 -958
206 1040 -3589
206 1256 -9629
206 1599 -400
206 1268 -2353
206 1397 -1857
2001 207 0
207 1813 -8803
207 1021 -3317
207 1693 -8132
207 1147 -435
207 1992 -6404
2001 208 0
208 1388 -2087
208 1320 -5457
208 1310 -4830
208 1815 -9601
208 1632 -6324
208 1889 -2563
2001 209 0
209 1722 -4395
209 1028 -9623
209 1617 -463
2001 210 0
210 1190 -1226
210 1062 -4095
210 1086 -1543
210 1882 -6097
210 1473 -274
210 1036 -2215
210 1958 -40
210 1981 -7024
2001 211 0
211 1177 -6807
211 1497 -4825
211 1585 -3485
211 1933 -588
211 1227 -6176
211 1802 -7345
2001 212 0
212 1829 -7710
212 1760 -3382
212 1667 -2120
212 1337 -2510
212 1977 -6687
212 1538 -8478
212 1620 -2904
2001 213 0
213 1676 -5168
213 1092 -2144
213 1295 -5221
213 1911 -6194
213 1673 -7986
2001 214 0
214 1971 -5965
214 1320 -7163
214 1484 -5013
214 1759 -9835
214 1087 -9701
214 1919 -8474
214 1227 -700
214 1803 -9291
2001 215 0
215 1710 -9439
215 1057 -8778
215 1544 -6944
215 1275 -7775
215 1985 -3021
215 1509 -890
2001 216 0
216 1166 -8561
216 1219 -2533
216 1374 -4486
216 1682 -5093
216 1217 -3570
216 1578 -5049
216 1704 -2118
216 1010 -2162
216 1244 -1349
216 1921 -1365
216 1821 -407
2001 217 0
217 1817 -6553
217 1921 -9863
217 1872 -167
217 1254 -9800
2001 218 0
218 1150 -5760
218 1895 -1906
218 1087 -2
218 1017 -9902
218 1474 -4539
2001 219 0
219 1361 -5960
2001 220 0
220 1908 -9048
220 1969 -1557
220 1864 -7809
220 1161 -1507
220 1600 -9195
220 1893 -6299
220 1395 -5800
2001 221 0
221 1797 -8178
221 1794 -5840
221 1817 -7792
221 1122 -1690
221 1586 -4211
2001 222 0
222 1516 -454
222 1638 -1443
222 1603 -8396
222 1575 -1939
222 1495 -9474
222 1923 -4336
222 1688 -2839
2001 223 0
223 1298 -2571
223 1449 -8264
223 1030 -1375
223 1605 -7960
223 1556 -3059
223 1938 -4119
2001 224 0
224 1719 -530
224 1442 -5545
224 1043 -5187
224 1616 -1282
224 1336 -3860
224 1253 -2811
2001 225 0
225 1466 -8666
225 1087 -1263
225 1301 -7751
2001 226 0
226 1728 -5895
226 1377 -735
226 1216 -2932
226 1225 -2828
2001 227 0
227 1064 -6225
227 1463 -1004
227 1297 -662
227 1534 -4710
227 1291 -677
227 1062 -1514
2001 228 0
228 1953 -4173
228 1059 -1930
228 1253 -6820
228 1101 -2372
228 1892 -6394
228 1763 -8437
228 1121 -7682
228 1961 -7955
2001 229 0
229 1684 -1228
2001 230 0
230 1632 -1307
230 1449 -2849
230 1663 -4446
230 1080 -7225
230 1227 -5114
2001 231 0
231 1969 -2889
231 1016 -7875
231 1092 -2484
231 1312 -6893
2001 232 0
232 1870 -3720
232 1328 -6383
232 1076 -8933
232 1801 -869
2001 233 0
233 1195 -9289
233 1791 -6146
233 1953 -7521
233 1233 -2458
233 1924 -6672
233 1219 -5325
233 1964 -2121
2001 234 0
234 1384 -4339
234 1312 -8570
234 1187 -568
234 1238 -3554
234 1158 -3632
2001 235 0
235 1766 -8892
235 1813 -8080
235 1922 -6705
235 1213 -2715
235 1483 -4470
235 1579 -1818
235 1066 -7406
235 1741 -2945
2001 236 0
236 1894 -3785
236 1488 -1398
236 1856 -5397
236 1811 -545
236 1072 -3207
236 1428 -4896
236 1800 -9474
2001 237 0
237 1708 -6575
237 1888 -8864
237 1057 -4989
2001 238 0
238 1385 -4133
238 1678 -8028
238 1905 -8224
238 1747 -467
238 1688 -2122
2001 239 0
239 1451 -5735
239 1733 -85
239 1214 -3265
239 1694 -8184
239 1233 -7472
239 1688 -2423
239 1293 -8156
239 1057 -6135
239 1313 -1678
2001 240 0
240 1052 -4271
240 1504 -248
240 1304 -8113
240 1324 -6240
240 1098 -2036
240 1647 -8847
240 1376 -7919
2001 241 0
241 1669 -3449
241 1745 -2399
241 1148 -9672
241 1911 -5614
2001 242 0
242 1220 -1829
242 1973 -9551
242 1079 -9935
242 1473 -8056
242 1546 -6526
242 1691 -5062
2001 243 0
243 1695 -6432
243 1766 -9607
243 1090 -9528
243 1491 -5787
2001 244 0
244 1323 -9545
244 1638 -159
244 1176 -3524
2001 245 0
245 1210 -6492
245 1197 -8251
245 1303 -6701
245 1007 -795
2001 246 0
246 1110 -9917
246 1248 -8866
2001 247 0
247 1802 -1658
247 1804 -9084
247 1922 -6057
247 1265 -1508
2001 248 0
248 1691 -1914
248 1306 -6113
248 1709 -2194
248 1525 -5464
248 1673 -9197
248 1380 -8455
248 1916 -2270
2001 249 0
249 1471 -3777
249 1225 -1807
249 1010 -5735
2001 250 0
250 1884 -888
250 1350 -9579
250 1712 -681
250 1770 -7920
250 1063 -8835
250 1973 -4595
2001 251 0
251 1710 -9171
251 1003 -5711
251 1760 -4411
251 1013 -3656
251 1143 -2515
251 1888 -5088
251 1559 -5201
2001 252 0
252 1673 -5995
252 1143 -1739
252 1453 -4726
252 1104 -9871
252 1113 -7981
252 1154 -8159
252 1250 -1701
2001 253 0
253 1416 -1723
253 1831 -6794
253 1883 -6272
253 1657 -8985
253 1736 -4702
253 1163 -7324
2001 254 0
254 1635 -9903
254 1307 -138
2001 255 0
255 1365 -2163
255 1324 -8348
255 1261 -1888
255 1898 -2753
255 1844 -424
255 1294 -2236
255 1342 -7521
2001 256 0
256 1823 -6762
256 1038 -1901
256 1912 -2659
256 1953 -6249
256 1851 -3905
2001 257 0
257 1962 -3301
257 1138 -2557
2001 258 0
258 1184 -6283
258 1027 -7570
258 1793 -6038
258 1526 -1683
2001 259 0
259 1109 -5865
259 1994 -6928
259 1866 -8086
259 1672 -5521
259 1834 -4517
259 1359 -539
259 1902 -3959
259 1882 -2868
259 1087 -532
259 1756 -5474
259 1257 -3771
2001 260 0
260 1865 -9045
260 1006 -3997
260 1575 -9974
2001 261 0
261 1508 -2536
261 1399 -5363
261 1507 -2010
261 1578 -2798
2001 262 0
262 1631 -4206
262 1181 -3891
262 1131 -5198
262 1623 -3797
262 1733 -4473
262 1794 -5649
2001 263 0
263 1040 -5770
263 1554 -2340
263 1844 -4408
263 1506 -325
2001 264 0
264 1149 -3248
264 1320 -1102
264 1786 -4351
264 1377 -2434
2001 265 0
265 1294 -5385
265 1381 -7326
265 1385 -8061
265 1799 -1796
265 1750 -9472
265 1157 -4621
265 1857 -4092
2001 266 0
266 1570 -9799
266 1655 -8840
2001 267 0
267 1534 -5043
267 1463 -6079
267 1538 -7493
267 1980 -5009
267 1727 -7701
267 1905 -2008
2001 268 0
268 1572 -7553
268 1466 -9629
2001 269 0
269 1405 -6796
269 1478 -7734
2001 270 0
270 1528 -6423
270 1798 -5534
2001 271 0
271 1298 -4102
271 1523 -2214
271 1320 -4729
271 1688 -9116
271 1598 -5909
271 1255 -7018
271 1954 -6799
2001 272 0
272 1019 -9165
272 1804 -4195
2001 273 0
273 1030 -9965
273 1863 -9015
273 1955 -2231
2001 274 0
274 1319 -9117
274 1151 -5210
274 1786 -8788
274 1579 -9191
274 1986 -1622
2001 275 0
275 1784 -3374
275 1505 -1916
275 1939 -2158
275 1503 -8711
275 1024 -8203
275 1635 -4733
2001 276 0
276 1819 -3468
276 1543 -4261
276 1119 -6026
276 1510 -214
276 1309 -9482
276 1379 -3632
2001 277 0
277 1418 -9119
277 1049 -3681
277 1828 -7419
277 1886 -9408
2001 278 0
278 1056 -6008
278 1063 -6207
278 1053 -3660
278 1218 -532
278 1885 -7970
278 1460 -7479
2001 279 0
279 1311 -4711
279 1578 -5015
279 1211 -7537
